date	time	expect	result
2010/12/01	21:30	15	10.3
2011/01/01	21:30	14.5	3.6
2011/02/01	21:30	19.6	19.2
2011/03/01	21:30	19	21.6
2011/04/01	22.30	18.5	24.4
2011/05/01	22.30	16.5	5.4
2011/06/01	22.30	10.4	1.8
2011/07/01	22.30	8.5	11.7
2011/08/01	22.30	6.5	0
2011/09/01	22.30	5.5	10.3
2011/10/01	22.30	9.5	8
2011/11/01	22.30	12.5	12
2011/12/01	21:30	15.5	20
2012/01/01	21:30	14	24.3
2012/02/01	21:30	21	22.7
2012/03/01	21:30	20.5	12
2012/04/01	22.30	16	11.5
2012/05/01	22.30	15	6.9
2012/06/01	22.30	9.5	8
2012/07/01	22.30	10	16.3
2012/08/01	22.30	13	9.6
2012/09/01	22.30	11.5	11.4
2012/10/01	22.30	12.5	17.1
2012/11/01	22.30	8.6	14.6
2012/12/01	21:30	15.3	15.5
2013/01/01	21:30	16.5	15.7
2013/02/01	21:30	16.5	23.6
2013/03/01	21:30	19	8.8
2013/04/01	22.30	14	16.5
2013/05/01	22.30	16.3	17.5
2013/06/01	22.30	16.5	19.5
2013/07/01	22.30	18.5	16.2
2013/08/01	22.30	18	16.9
2013/09/01	22.30	18	14.8
2013/10/01	22.30	12	20.4
2013/11/01	22.30	18.5	20.3
2013/12/01	21:30	19.7	7.4
2014/01/01	21:30	18	11.3
2014/02/01	21:30	15	17.5
2014/03/01	21:30	20	19.2
2014/04/01	22.30	21.8	28.8
2014/05/01	22.30	21.5	21.7
2014/06/01	22.30	21.5	28.8
2014/07/01	22.30	23	20.9
2014/08/01	22.30	23	14.2
2014/09/01	22.30	21.5	24.8
2014/10/01	22.30	23.5	21.4
2014/11/01	22.30	23	32.1
2014/12/01	21:30	24	25.2
2015/01/01	21:30	23	25.7
2015/02/01	21:30	23.5	29.5
2015/03/01	21:30	24.5	12.6
2015/04/01	22.30	23	22.3
2015/05/01	22.30	22.5	28
2015/06/01	22.30	23.3	22.3
2015/07/01	22.30	22.5	21.5
2015/08/01	22.30	21.8	17.3
