date	time	expect	result
2010/12/01	21:30	9.7	9.4
2011/01/01	21:30	9.5	9
2011/02/01	21:30	9.1	8.9
2011/03/01	21:30	8.9	8.8
2011/04/01	22.30	8.8	9
2011/05/01	22.30	8.9	9.1
2011/06/01	22.30	9.1	9.2
2011/07/01	22.30	9.2	9.1
2011/08/01	22.30	9.1	9.1
2011/09/01	22.30	9.1	9.1
2011/10/01	22.30	9.1	9
2011/11/01	22.30	9	8.6
2011/12/01	21:30	8.7	8.5
2012/01/01	21:30	8.5	8.3
2012/02/01	21:30	8.3	8.3
2012/03/01	21:30	8.3	8.2
2012/04/01	22.30	8.2	8.1
2012/05/01	22.30	8.1	8.2
2012/06/01	22.30	8.2	8.2
2012/07/01	22.30	8.2	8.3
2012/08/01	22.30	8.3	8.1
2012/09/01	22.30	8.2	7.8
2012/10/01	22.30	7.9	7.9
2012/11/01	22.30	7.9	7.7
2012/12/01	21:30	7.7	7.8
2013/01/01	21:30	7.8	7.9
2013/02/01	21:30	7.9	7.7
2013/03/01	21:30	7.7	7.6
2013/04/01	22.30	7.6	7.5
2013/05/01	22.30	7.5	7.6
2013/06/01	22.30	7.5	7.6
2013/07/01	22.30	7.5	7.4
2013/08/01	22.30	7.4	7.3
2013/09/01	22.30	7.3	7.2
2013/10/01	22.30	7.3	7.3
2013/11/01	22.30	7.2	7
2013/12/01	21:30	7	6.7
2014/01/01	21:30	6.7	6.6
2014/02/01	21:30	6.6	6.7
2014/03/01	21:30	6.6	6.7
2014/04/01	22.30	6.6	6.3
2014/05/01	22.30	6.4	6.3
2014/06/01	22.30	6.3	6.1
2014/07/01	22.30	6.1	6.2
2014/08/01	22.30	6.1	6.1
2014/09/01	22.30	6.1	5.9
2014/10/01	22.30	5.9	5.8
2014/11/01	22.30	5.8	5.8
2014/12/01	21:30	5.7	5.6
2015/01/01	21:30	5.6	5.7
2015/02/01	21:30	5.6	5.5
2015/03/01	21:30	5.5	5.5
2015/04/01	22.30	5.4	5.4
2015/05/01	22.30	5.4	5.5
2015/06/01	22.30	5.4	5.3
2015/07/01	22.30	5.3	5.3
2015/08/01	22.30	5.2	5.1
